model,learning_rate,optimizer,dropout,batch_size,best_epoch,training_time,num_parameters,train_accuracy,dev_accuracy,train_loss,dev_loss,accuracy_diff_pct,loss_diff_pct,timestamp
CNN_32_64_Dropout_Gridsearch_Relu,0.001,Adam,0.2,64,18,1126.3747692108154,281024,0.5616897183802699,0.42346666666666666,1.2711779745583682,1.6507257320987645,24.608435438731817,29.857955780917184,2026-01-09 01:54:05
CNN_32_64_128_Dropout_Gridsearch_Relu,0.001,Adam,0.2,64,10,1081.3706545829773,617024,0.5863133922124091,0.44156666666666666,1.1696044923654876,1.611146451694879,24.68760350152529,37.75139050948641,2026-01-09 04:53:43
CNN_64_128_Dropout_Gridsearch_Relu,0.001,Adam,0.1,64,6,658.1681883335114,598848,0.5541298672443482,0.41386666666666666,1.2757324348384276,1.7443339794175203,25.312333600641544,36.73196132529479,2026-01-09 02:39:46
CNN_64_128_256_Dropout_Gridsearch_Relu,0.001,Adam,0.1,128,5,412.0728714466095,1418304,0.5801588624118202,0.4317666666666667,1.189519590067372,1.7373392820358275,25.577855542577023,46.05386044440244,2026-01-09 19:42:35
CNN_64_128_256_Dropout_Gridsearch_Relu,0.001,Adam,0.2,64,8,946.1265115737915,1418304,0.59837249347331,0.43733333333333335,1.1317431161804552,1.662708709997409,26.912861452773264,46.9157343416341,2026-01-09 06:36:23
CNN_32_64_Dropout_Gridsearch_Relu,0.001,Adam,0.1,128,16,573.0539989471436,281024,0.582180747653169,0.42083333333333334,1.203874725692223,1.7079589899550094,27.714316382024624,41.87182050631887,2026-01-09 17:03:36
CNN_64_128_Dropout_Gridsearch_Relu,0.001,Adam,0.1,128,9,425.88797187805176,598848,0.5854246514469811,0.4181,1.1809428432941775,1.8399521315351446,28.581757026016657,55.803656542995384,2026-01-09 17:53:19
CNN_64_128_Dropout_Gridsearch_Relu,0.001,Adam,0.2,128,13,550.9759533405304,598848,0.5990001666388935,0.42493333333333333,1.1479833041765881,1.7194886293817073,29.05956341920288,49.783417853366934,2026-01-09 18:18:54
CNN_32_64_128_Dropout_Gridsearch_Relu,0.001,Adam,0.2,128,20,730.810135602951,617024,0.624401488640782,0.4362333333333333,1.0604247323316127,1.674668050826864,30.13576340393734,57.924273148993954,2026-01-09 19:11:02
CNN_64_128_Dropout_Gridsearch_Relu,0.001,Adam,0.2,64,14,1094.397320508957,598848,0.60694884185969,0.4229,1.1267945264481667,1.7236254878643988,30.323616945336735,52.967151278018456,2026-01-09 03:26:20
